# Matbench Discovery leaderboard snapshot (visited 2026-09-09)
# URL: https://matbench-discovery.materialsproject.org/
# Metric: CPS (Combined Performance Score) = F1 50% + kappa_SRME 40% + RMSD 10%
# Columns: rank, model, CPS, Acc, F1, DAF, Prec, MAE, R2, kappaSRME, RMSD, CMDS, CDS, Params, Targets, DateAdded, rcut, TrainingSet

31,SevenNet-l3i5*,0.714,0.920,0.760,4.629,0.708,0.044,0.776,0.550,0.085,0.651,0.533,1.17M,EFSG,2024-12-10,5A,"146k(1.58M) MPtrj"
32,HIENet,0.707,0.929,0.777,4.932,0.754,0.041,0.793,0.642,0.080,0.653,0.649,7.51M,EFSG,2025-07-01,5A,"146k(1.58M) MPtrj"
33,GRACE-2L-MPtrj,0.681,0.895,0.691,4.163,0.636,0.052,0.741,0.525,0.090,0.698,0.355,15.3M,EFSG,2024-11-21,6A,"146k(1.58M) MPtrj"
34,MACE-MP-0,0.637,0.878,0.669,3.777,0.577,0.057,0.697,0.682,0.091,0.633,0.627,4.69M,EFSG,2023-07-14,6A,"146k(1.58M) MPtrj"
35,BAM-MP-core,0.584,0.869,0.623,3.682,0.563,0.060,0.712,0.848,0.086,n/a,n/a,17M,EFSG,2026-07-16,6A,"146k(1.58M) MPtrj"
36,eqV2 M (DeNS),0.558,0.975,0.917,6.047,0.924,0.020,0.848,1.771,0.069,0.595,0.283,86.6M,EFSD,2024-10-18,12A,"3.37M(102M) MPtrj+OMat24"
37,ORB v2 MPA,0.528,0.965,0.880,6.041,0.924,0.028,0.824,1.734,0.097,0.750,0.678,25.2M,EFSD,2024-10-11,10A,"3.25M(32.1M) MPtrj+Alex"
38,eqV2 S DeNS,0.522,0.939,0.815,5.042,0.771,0.036,0.788,1.676,0.076,0.615,0.258,31.2M,EFSD,2024-10-18,12A,"146k(1.58M) MPtrj"
39,ORB v2 MPtrj,0.470,0.922,0.765,4.702,0.719,0.045,0.756,1.726,0.101,0.727,0.667,25.2M,EFSD,2024-10-14,10A,"146k(1.58M) MPtrj"
40,M3GNet,0.428,0.812,0.569,2.882,0.441,0.075,0.585,1.409,0.112,n/a,n/a,228k,EFSG,2022-09-20,5A,"62.8k(188k) MPF"
41,CHGNet,0.400,0.851,0.613,3.361,0.514,0.063,0.689,1.717,0.095,0.554,0.297,413k,EFSGM,2023-03-03,5A,"146k(1.58M) MPtrj"
42,NequIP-GNoME,n/a,0.948,0.829,5.523,0.844,0.035,0.785,n/a,n/a,n/a,n/a,16.2M,EFG,2024-02-03,5A,"6M(89M) GNoME"

## Notes
- DAF max possible ~6.54 (15.3% stable rate in WBM unique-prototype test set).
- Leaderboard now has column presets: Discovery, Geo Opt, Phonons, MD, Diatomics; test-set toggle Full vs Unique Prototypes.
- Notably absent from this discovery view: Meta FAIR UMA (check other presets), MACE-MP-0b, GRACE-2L 300M+, DPA-2, AIMNet2, PET-MAD.
