model,material,structure,property,unit,predicted,reference,rel_err,rel_err_pct
mace-mp-medium,Ag,fcc,vacancy_formation_energy,eV,0.6802304892,0.68,0.000338955,0.0339
mace-mp-medium,Ag,fcc,gamma_100,J/m^2,0.805947217,0.81,-0.00500344,-0.5003
mace-mp-medium,Ag,fcc,gamma_110,J/m^2,0.8441452008,0.866,-0.0252365,-2.5236
mace-mp-medium,Ag,fcc,gamma_111,J/m^2,0.6970668479,0.773,-0.0982318,-9.8232
mace-mp-medium,Ag,fcc,stacking_fault_energy,mJ/m^2,8.813812157,17.26,-0.48935,-48.9350
mace-mp-medium,Ag,fcc,cohesive_energy,eV/atom,2.255373671,,,
mace-mp-medium,Al,fcc,a0,Angstrom,4.060446564,4.041,0.00481231,0.4812
mace-mp-medium,Al,fcc,B0,GPa,64.19244325,79.4,-0.191531,-19.1531
mace-mp-medium,Al,fcc,B0_prime,dimensionless,4.505532679,4.16,0.0830607,8.3061
mace-mp-medium,Al,fcc,vacancy_formation_energy,eV,0.4811953514,0.61,-0.211155,-21.1155
mace-mp-medium,Al,fcc,gamma_100,J/m^2,0.8328230238,0.915,-0.0898109,-8.9811
mace-mp-medium,Al,fcc,gamma_110,J/m^2,0.850241252,0.977,-0.129743,-12.9743
mace-mp-medium,Al,fcc,gamma_111,J/m^2,0.6503221377,0.795,-0.181985,-18.1985
mace-mp-medium,Al,fcc,stacking_fault_energy,mJ/m^2,1.836972792,117.54,-0.984372,-98.4372
mace-mp-medium,Al,fcc,cohesive_energy,eV/atom,3.034377347,,,
mace-mp-medium,Au,fcc,a0,Angstrom,4.17646239,4.157,0.00468184,0.4682
mace-mp-medium,Au,fcc,B0,GPa,133.9345795,180.9,-0.259621,-25.9621
mace-mp-medium,Au,fcc,B0_prime,dimensionless,5.450129527,5.47,-0.00363263,-0.3633
mace-mp-medium,Au,fcc,vacancy_formation_energy,eV,0.439403404,0.4,0.0985085,9.8509
mace-mp-medium,Au,fcc,gamma_100,J/m^2,0.8649495089,0.861,0.00458712,0.4587
mace-mp-medium,Au,fcc,gamma_110,J/m^2,0.8768885744,0.827,0.0603248,6.0325
mace-mp-medium,Au,fcc,gamma_111,J/m^2,0.6857381688,0.742,-0.0758246,-7.5825
mace-mp-medium,Au,fcc,stacking_fault_energy,mJ/m^2,32.16796185,32.69,-0.0159694,-1.5969
mace-mp-medium,Au,fcc,cohesive_energy,eV/atom,1.577695887,,,
mace-mp-medium,Ca,fcc,a0,Angstrom,5.497186316,5.527,-0.00539419,-0.5394
mace-mp-medium,Ca,fcc,B0,GPa,20.41597189,18.4,0.109564,10.9564
mace-mp-medium,Ca,fcc,B0_prime,dimensionless,4.338275285,,,
mace-mp-medium,Ca,fcc,vacancy_formation_energy,eV,0.9500575686,1.13,-0.159241,-15.9241
mace-mp-medium,Ca,fcc,gamma_100,J/m^2,0.4349085284,0.458,-0.0504181,-5.0418
mace-mp-medium,Ca,fcc,gamma_110,J/m^2,0.4709057577,0.542,-0.13117,-13.1170
mace-mp-medium,Ca,fcc,gamma_111,J/m^2,0.3599503301,0.461,-0.219197,-21.9197
mace-mp-medium,Ca,fcc,stacking_fault_energy,mJ/m^2,0.8093476149,,,
mace-mp-medium,Ca,fcc,cohesive_energy,eV/atom,1.805217633,,,
mace-mp-medium,Cu,fcc,a0,Angstrom,3.625650659,3.631,-0.00147324,-0.1473
mace-mp-medium,Cu,fcc,B0,GPa,143.9538694,142.3,0.0116224,1.1622
mace-mp-medium,Cu,fcc,B0_prime,dimensionless,5.020641406,4.91,0.0225339,2.2534
mace-mp-medium,Cu,fcc,vacancy_formation_energy,eV,1.044306224,1.07,-0.0240129,-2.4013
mace-mp-medium,Cu,fcc,gamma_100,J/m^2,1.500001492,1.468,0.0217994,2.1799
mace-mp-medium,Cu,fcc,gamma_110,J/m^2,1.567024016,1.561,0.00385908,0.3859
mace-mp-medium,Cu,fcc,gamma_111,J/m^2,1.303702683,1.314,-0.00783662,-0.7837
mace-mp-medium,Cu,fcc,stacking_fault_energy,mJ/m^2,10.91472418,47.45,-0.769974,-76.9974
mace-mp-medium,Cu,fcc,cohesive_energy,eV/atom,3.156265197,,,
mace-mp-medium,Ni,fcc,a0,Angstrom,3.510371988,3.518,-0.00216828,-0.2168
mace-mp-medium,Ni,fcc,B0,GPa,211.5933251,187.6,0.127896,12.7896
mace-mp-medium,Ni,fcc,B0_prime,dimensionless,5.163761198,4.83,0.0691017,6.9102
mace-mp-medium,Ni,fcc,vacancy_formation_energy,eV,1.115431174,1.39,-0.197532,-19.7532
mace-mp-medium,Ni,fcc,gamma_100,J/m^2,1.93452005,2.208,-0.123859,-12.3859
mace-mp-medium,Ni,fcc,gamma_110,J/m^2,2.141178294,2.286,-0.0633516,-6.3352
mace-mp-medium,Ni,fcc,gamma_111,J/m^2,1.830988244,1.924,-0.0483429,-4.8343
mace-mp-medium,Ni,fcc,stacking_fault_energy,mJ/m^2,10.56654367,153.56,-0.931189,-93.1189
mace-mp-medium,Ni,fcc,cohesive_energy,eV/atom,4.21415321,,,
mace-mp-medium,Pd,fcc,a0,Angstrom,3.957924315,3.942,0.00403965,0.4040
mace-mp-medium,Pd,fcc,B0,GPa,166.2542247,195,-0.147414,-14.7414
mace-mp-medium,Pd,fcc,B0_prime,dimensionless,6.432842335,,,
mace-mp-medium,Pd,fcc,vacancy_formation_energy,eV,1.182150372,1.16,0.0190951,1.9095
mace-mp-medium,Pd,fcc,gamma_100,J/m^2,1.400772511,1.526,-0.0820626,-8.2063
mace-mp-medium,Pd,fcc,gamma_110,J/m^2,1.586070642,1.574,0.00766877,0.7669
mace-mp-medium,Pd,fcc,gamma_111,J/m^2,1.303156074,1.338,-0.0260418,-2.6042
mace-mp-medium,Pd,fcc,stacking_fault_energy,mJ/m^2,44.30746272,139.5,-0.682384,-68.2384
mace-mp-medium,Pd,fcc,cohesive_energy,eV/atom,3.476025558,,,
mace-mp-medium,Pt,fcc,a0,Angstrom,3.976225087,3.97,0.00156803,0.1568
mace-mp-medium,Pt,fcc,B0,GPa,226.7230418,277,-0.181505,-18.1505
mace-mp-medium,Pt,fcc,B0_prime,dimensionless,4.770946839,4.83,-0.0122263,-1.2226
mace-mp-medium,Pt,fcc,vacancy_formation_energy,eV,0.4392359883,0.61,-0.279941,-27.9941
mace-mp-medium,Pt,fcc,gamma_100,J/m^2,1.624083379,1.842,-0.118304,-11.8304
mace-mp-medium,Pt,fcc,gamma_110,J/m^2,1.647670892,1.681,-0.019827,-1.9827
mace-mp-medium,Pt,fcc,gamma_111,J/m^2,1.273924821,1.479,-0.138658,-13.8658
mace-mp-medium,Pt,fcc,stacking_fault_energy,mJ/m^2,105.7079133,307.97,-0.656759,-65.6759
mace-mp-medium,Pt,fcc,cohesive_energy,eV/atom,4.412003565,,,
mace-mp-medium,Sr,fcc,a0,Angstrom,6.01619369,6.02,-0.000632277,-0.0632
mace-mp-medium,Sr,fcc,B0,GPa,16.87007045,12.4,0.36049,36.0490
mace-mp-medium,Sr,fcc,B0_prime,dimensionless,2.597440225,,,
mace-mp-medium,Sr,fcc,vacancy_formation_energy,eV,0.6649126892,0.95,-0.300092,-30.0092
mace-mp-medium,Sr,fcc,gamma_100,J/m^2,0.2859011427,0.347,-0.176077,-17.6077
mace-mp-medium,Sr,fcc,gamma_110,J/m^2,0.3059345866,0.407,-0.248318,-24.8318
mace-mp-medium,Sr,fcc,gamma_111,J/m^2,0.2243607394,0.342,-0.343974,-34.3974
mace-mp-medium,Sr,fcc,stacking_fault_energy,mJ/m^2,0.6265689021,,,
mace-mp-medium,Sr,fcc,cohesive_energy,eV/atom,1.552617395,,,
mace-mp-medium,Cr,bcc,a0,Angstrom,2.866379758,2.862,0.00153031,0.1530
mace-mp-medium,Cr,bcc,B0,GPa,230.3783195,160,0.439864,43.9864
mace-mp-medium,Cr,bcc,B0_prime,dimensionless,5.574550505,4.934,0.129824,12.9824
mace-mp-medium,Cr,bcc,vacancy_formation_energy,eV,1.447603476,3.0093,-0.518957,-51.8957
mace-mp-medium,Cr,bcc,gamma_100,J/m^2,3.1767431,3.632,-0.125346,-12.5346
mace-mp-medium,Cr,bcc,gamma_110,J/m^2,3.458098785,3.201,0.0803183,8.0318
mace-mp-medium,Cr,bcc,cohesive_energy,eV/atom,3.159854263,,,
mace-mp-medium,Fe,bcc,a0,Angstrom,2.853406342,2.831,0.00791464,0.7915
mace-mp-medium,Fe,bcc,B0,GPa,71.3243308,173,-0.587721,-58.7721
mace-mp-medium,Fe,bcc,B0_prime,dimensionless,-7.32952155,,,
mace-mp-medium,Fe,bcc,vacancy_formation_energy,eV,1.435700099,2.1914,-0.344848,-34.4848
mace-mp-medium,Fe,bcc,gamma_100,J/m^2,2.049094396,2.499,-0.180034,-18.0034
mace-mp-medium,Fe,bcc,gamma_110,J/m^2,2.016365461,2.447,-0.175985,-17.5985
mace-mp-medium,Fe,bcc,cohesive_energy,eV/atom,4.499548789,,,
mace-mp-medium,Mo,bcc,a0,Angstrom,3.170218622,3.161,0.00291636,0.2916
mace-mp-medium,Mo,bcc,B0,GPa,269.8470588,265.3,0.0171393,1.7139
mace-mp-medium,Mo,bcc,B0_prime,dimensionless,4.058860124,3.34,0.215228,21.5228
mace-mp-medium,Mo,bcc,vacancy_formation_energy,eV,2.248357921,2.7955,-0.195722,-19.5722
mace-mp-medium,Mo,bcc,gamma_100,J/m^2,2.507977569,3.182,-0.211824,-21.1824
mace-mp-medium,Mo,bcc,gamma_110,J/m^2,2.337410887,2.797,-0.164315,-16.4315
mace-mp-medium,Mo,bcc,cohesive_energy,eV/atom,6.065664806,,,
mace-mp-medium,Nb,bcc,a0,Angstrom,3.313434118,3.31,0.0010375,0.1037
mace-mp-medium,Nb,bcc,B0,GPa,155.0670126,174,-0.10881,-10.8810
mace-mp-medium,Nb,bcc,B0_prime,dimensionless,5.287346673,,,
mace-mp-medium,Nb,bcc,vacancy_formation_energy,eV,2.230563215,2.6589,-0.161095,-16.1095
mace-mp-medium,Nb,bcc,gamma_100,J/m^2,2.543274177,2.275,0.117923,11.7923
mace-mp-medium,Nb,bcc,gamma_110,J/m^2,2.465365868,2.074,0.188701,18.8701
mace-mp-medium,Nb,bcc,cohesive_energy,eV/atom,6.862534526,,,
mace-mp-medium,Ta,bcc,a0,Angstrom,3.313896816,3.318,-0.00123664,-0.1237
mace-mp-medium,Ta,bcc,B0,GPa,201.7362073,194.2,0.0388064,3.8806
mace-mp-medium,Ta,bcc,B0_prime,dimensionless,5.623994175,3.17,0.774131,77.4131
mace-mp-medium,Ta,bcc,vacancy_formation_energy,eV,2.636969137,2.8759,-0.0830804,-8.3080
mace-mp-medium,Ta,bcc,gamma_100,J/m^2,2.430339747,2.471,-0.016455,-1.6455
mace-mp-medium,Ta,bcc,gamma_110,J/m^2,2.165648705,2.342,-0.0752994,-7.5299
mace-mp-medium,Ta,bcc,cohesive_energy,eV/atom,8.291011033,,,
mace-mp-medium,V,bcc,a0,Angstrom,2.99906827,2.996,0.00102412,0.1024
mace-mp-medium,V,bcc,B0,GPa,179.5056995,157,0.143348,14.3348
mace-mp-medium,V,bcc,B0_prime,dimensionless,4.04223293,,,
mace-mp-medium,V,bcc,vacancy_formation_energy,eV,2.683386351,2.0422,0.313968,31.3968
mace-mp-medium,V,bcc,gamma_100,J/m^2,2.669793575,2.381,0.121291,12.1291
mace-mp-medium,V,bcc,gamma_110,J/m^2,2.566672823,2.421,0.0601705,6.0171
mace-mp-medium,V,bcc,cohesive_energy,eV/atom,4.731186838,,,
mace-mp-medium,W,bcc,a0,Angstrom,3.188456938,3.183,0.0017144,0.1714
mace-mp-medium,W,bcc,B0,GPa,254.8544635,314.2,-0.188878,-18.8878
mace-mp-medium,W,bcc,B0_prime,dimensionless,4.582253583,3.82,0.199543,19.9543
mace-mp-medium,W,bcc,vacancy_formation_energy,eV,2.645608524,3.231,-0.18118,-18.1180
mace-mp-medium,W,bcc,gamma_100,J/m^2,3.389048684,3.954,-0.142881,-14.2881
mace-mp-medium,W,bcc,gamma_110,J/m^2,3.334983548,3.228,0.0331424,3.3142
mace-mp-medium,W,bcc,cohesive_energy,eV/atom,7.674824833,,,
mace-mp-medium,Si,diamond,a0,Angstrom,5.455566846,5.466,-0.00190874,-0.1909
mace-mp-medium,Si,diamond,B0,GPa,74.56238037,89.2,-0.164099,-16.4099
mace-mp-medium,Si,diamond,B0_prime,dimensionless,5.331644866,,,
mace-mp-medium,Si,diamond,vacancy_formation_energy,eV,1.849447918,3.63,-0.49051,-49.0510
mace-mp-medium,Si,diamond,cohesive_energy,eV/atom,4.054405529,,,
mace-mp-medium,MgO,rocksalt,a0,Angstrom,4.254521244,4.255,-0.000112516,-0.0113
mace-mp-medium,MgO,rocksalt,B0,GPa,147.2599074,149,-0.0116785,-1.1678
mace-mp-medium,MgO,rocksalt,B0_prime,dimensionless,4.248774588,4,0.0621936,6.2194
mace-mp-medium,MgO,rocksalt,cohesive_energy,eV/atom,4.941072303,,,
mace-mp-medium,NaCl,rocksalt,a0,Angstrom,5.683173168,5.7,-0.00295208,-0.2952
mace-mp-medium,NaCl,rocksalt,B0,GPa,25.42814717,23.6,0.0774639,7.7464
mace-mp-medium,NaCl,rocksalt,B0_prime,dimensionless,5.220515623,5.09,0.0256416,2.5642
mace-mp-medium,NaCl,rocksalt,cohesive_energy,eV/atom,2.482803779,,,
mace-mp-medium,NiAl,b2,a0,Angstrom,2.882492909,2.88,0.000865593,0.0866
mace-mp-medium,NiAl,b2,B0,GPa,173.2177402,166,0.0434804,4.3480
mace-mp-medium,NiAl,b2,B0_prime,dimensionless,5.184381994,,,
mace-mp-medium,NiAl,b2,formation_enthalpy,eV/atom,-0.691995301,-0.6586,-0.0507065,-5.0707
mace-mp-medium,NiAl,b2,cohesive_energy,eV/atom,4.31626058,,,
mace-mp-medium,Ni3Al,l12,a0,Angstrom,3.555610002,3.565,-0.00263394,-0.2634
mace-mp-medium,Ni3Al,l12,B0,GPa,181.6764862,175,0.0381513,3.8151
mace-mp-medium,Ni3Al,l12,B0_prime,dimensionless,4.999074042,,,
mace-mp-medium,Ni3Al,l12,formation_enthalpy,eV/atom,-0.4763665764,-0.4325,-0.101426,-10.1426
mace-mp-medium,Ni3Al,l12,cohesive_energy,eV/atom,4.395575821,,,
mace-mpa-0-medium,Ag,fcc,a0,Angstrom,4.161568877,4.149,0.00302938,0.3029
mace-mpa-0-medium,Ag,fcc,B0,GPa,82.13145342,110.9,-0.25941,-25.9410
mace-mpa-0-medium,Ag,fcc,B0_prime,dimensionless,6.511459937,5.7,0.142361,14.2361
mace-mpa-0-medium,Ag,fcc,vacancy_formation_energy,eV,0.7764037635,0.68,0.14177,14.1770
mace-mpa-0-medium,Ag,fcc,gamma_100,J/m^2,0.8142944151,0.81,0.00530175,0.5302
mace-mpa-0-medium,Ag,fcc,gamma_110,J/m^2,0.8456775786,0.866,-0.023467,-2.3467
mace-mpa-0-medium,Ag,fcc,gamma_111,J/m^2,0.702674196,0.773,-0.0909778,-9.0978
mace-mpa-0-medium,Ag,fcc,stacking_fault_energy,mJ/m^2,8.888190958,17.26,-0.485041,-48.5041
mace-mpa-0-medium,Ag,fcc,cohesive_energy,eV/atom,2.488032144,,,
mace-mpa-0-medium,Al,fcc,a0,Angstrom,4.038601534,4.041,-0.000593533,-0.0594
mace-mpa-0-medium,Al,fcc,B0,GPa,81.82886109,79.4,0.0305902,3.0590
mace-mpa-0-medium,Al,fcc,B0_prime,dimensionless,3.902606244,4.16,-0.0618735,-6.1873
mace-mpa-0-medium,Al,fcc,vacancy_formation_energy,eV,0.6781090142,0.61,0.111654,11.1654
mace-mpa-0-medium,Al,fcc,gamma_100,J/m^2,0.996817206,0.915,0.0894177,8.9418
mace-mpa-0-medium,Al,fcc,gamma_110,J/m^2,0.9429386179,0.977,-0.0348632,-3.4863
mace-mpa-0-medium,Al,fcc,gamma_111,J/m^2,0.7839961594,0.795,-0.0138413,-1.3841
mace-mpa-0-medium,Al,fcc,stacking_fault_energy,mJ/m^2,87.40735964,117.54,-0.256361,-25.6361
mace-mpa-0-medium,Al,fcc,cohesive_energy,eV/atom,3.523711403,,,
mace-mpa-0-medium,Au,fcc,a0,Angstrom,4.166513155,4.157,0.00228847,0.2288
mace-mpa-0-medium,Au,fcc,B0,GPa,134.9441443,180.9,-0.25404,-25.4040
mace-mpa-0-medium,Au,fcc,B0_prime,dimensionless,6.569918768,5.47,0.201082,20.1082
mace-mpa-0-medium,Au,fcc,vacancy_formation_energy,eV,0.4704917741,0.4,0.176229,17.6229
mace-mpa-0-medium,Au,fcc,gamma_100,J/m^2,0.8793081177,0.861,0.0212638,2.1264
mace-mpa-0-medium,Au,fcc,gamma_110,J/m^2,0.9100111354,0.827,0.100376,10.0376
mace-mpa-0-medium,Au,fcc,gamma_111,J/m^2,0.6864945623,0.742,-0.0748052,-7.4805
mace-mpa-0-medium,Au,fcc,stacking_fault_energy,mJ/m^2,30.7480104,32.69,-0.0594062,-5.9406
mace-mpa-0-medium,Au,fcc,cohesive_energy,eV/atom,2.987814957,,,
mace-mpa-0-medium,Ca,fcc,a0,Angstrom,5.544860143,5.527,0.00323144,0.3231
mace-mpa-0-medium,Ca,fcc,B0,GPa,16.29527575,18.4,-0.114387,-11.4387
mace-mpa-0-medium,Ca,fcc,B0_prime,dimensionless,2.035622834,,,
mace-mpa-0-medium,Ca,fcc,vacancy_formation_energy,eV,1.020542013,1.13,-0.0968655,-9.6865
mace-mpa-0-medium,Ca,fcc,gamma_100,J/m^2,0.4289796635,0.458,-0.0633632,-6.3363
mace-mpa-0-medium,Ca,fcc,gamma_110,J/m^2,0.4710721407,0.542,-0.130863,-13.0863
mace-mpa-0-medium,Ca,fcc,gamma_111,J/m^2,0.395565876,0.461,-0.14194,-14.1940
mace-mpa-0-medium,Ca,fcc,stacking_fault_energy,mJ/m^2,1.15729784,,,
mace-mpa-0-medium,Ca,fcc,cohesive_energy,eV/atom,1.906425083,,,
mace-mpa-0-medium,Cu,fcc,a0,Angstrom,3.639835111,3.631,0.00243324,0.2433
mace-mpa-0-medium,Cu,fcc,B0,GPa,130.2437389,142.3,-0.0847243,-8.4724
mace-mpa-0-medium,Cu,fcc,B0_prime,dimensionless,4.381315156,4.91,-0.107675,-10.7675
mace-mpa-0-medium,Cu,fcc,vacancy_formation_energy,eV,1.067460139,1.07,-0.0023737,-0.2374
mace-mpa-0-medium,Cu,fcc,gamma_100,J/m^2,1.41755395,1.468,-0.0343638,-3.4364
mace-mpa-0-medium,Cu,fcc,gamma_110,J/m^2,1.51386315,1.561,-0.0301966,-3.0197
mace-mpa-0-medium,Cu,fcc,gamma_111,J/m^2,1.228417266,1.314,-0.0651315,-6.5131
mace-mpa-0-medium,Cu,fcc,stacking_fault_energy,mJ/m^2,27.88227165,47.45,-0.412386,-41.2386
mace-mpa-0-medium,Cu,fcc,cohesive_energy,eV/atom,3.500655032,,,
mace-mpa-0-medium,Ni,fcc,a0,Angstrom,3.521341614,3.518,0.000949862,0.0950
mace-mpa-0-medium,Ni,fcc,B0,GPa,215.9761563,187.6,0.151259,15.1259
mace-mpa-0-medium,Ni,fcc,B0_prime,dimensionless,5.615337232,4.83,0.162596,16.2596
mace-mpa-0-medium,Ni,fcc,vacancy_formation_energy,eV,1.539751037,1.39,0.107735,10.7735
mace-mpa-0-medium,Ni,fcc,gamma_100,J/m^2,3.290699304,2.208,0.490353,49.0353
mace-mpa-0-medium,Ni,fcc,gamma_110,J/m^2,3.266798691,2.286,0.429046,42.9046
mace-mpa-0-medium,Ni,fcc,gamma_111,J/m^2,2.609226674,1.924,0.356147,35.6147
mace-mpa-0-medium,Ni,fcc,stacking_fault_energy,mJ/m^2,88.26568006,153.56,-0.425204,-42.5204
mace-mpa-0-medium,Ni,fcc,cohesive_energy,eV/atom,4.851469899,,,
mace-mpa-0-medium,Pd,fcc,a0,Angstrom,3.959590523,3.942,0.00446233,0.4462
mace-mpa-0-medium,Pd,fcc,B0,GPa,140.2987392,195,-0.280519,-28.0519
mace-mpa-0-medium,Pd,fcc,B0_prime,dimensionless,6.103697844,,,
mace-mpa-0-medium,Pd,fcc,vacancy_formation_energy,eV,1.210036636,1.16,0.043135,4.3135
mace-mpa-0-medium,Pd,fcc,gamma_100,J/m^2,1.596646401,1.526,0.0462952,4.6295
mace-mpa-0-medium,Pd,fcc,gamma_110,J/m^2,1.627605339,1.574,0.0340568,3.4057
mace-mpa-0-medium,Pd,fcc,gamma_111,J/m^2,1.347322359,1.338,0.00696738,0.6967
mace-mpa-0-medium,Pd,fcc,stacking_fault_energy,mJ/m^2,86.98101879,139.5,-0.37648,-37.6480
mace-mpa-0-medium,Pd,fcc,cohesive_energy,eV/atom,3.706158731,,,
mace-mpa-0-medium,Pt,fcc,a0,Angstrom,3.976551334,3.97,0.00165021,0.1650
mace-mpa-0-medium,Pt,fcc,B0,GPa,249.8733497,277,-0.0979301,-9.7930
mace-mpa-0-medium,Pt,fcc,B0_prime,dimensionless,4.721746577,4.83,-0.0224127,-2.2413
mace-mpa-0-medium,Pt,fcc,vacancy_formation_energy,eV,0.8273253437,0.61,0.356271,35.6271
mace-mpa-0-medium,Pt,fcc,gamma_100,J/m^2,2.036981777,1.842,0.105853,10.5853
mace-mpa-0-medium,Pt,fcc,gamma_110,J/m^2,2.071565088,1.681,0.232341,23.2341
mace-mpa-0-medium,Pt,fcc,gamma_111,J/m^2,1.669452129,1.479,0.128771,12.8771
mace-mpa-0-medium,Pt,fcc,stacking_fault_energy,mJ/m^2,341.1726696,307.97,0.107811,10.7811
mace-mpa-0-medium,Pt,fcc,cohesive_energy,eV/atom,5.548471171,,,
mace-mpa-0-medium,Sr,fcc,a0,Angstrom,6.029815112,6.02,0.00163042,0.1630
mace-mpa-0-medium,Sr,fcc,B0,GPa,13.81824954,12.4,0.114375,11.4375
mace-mpa-0-medium,Sr,fcc,B0_prime,dimensionless,2.667467645,,,
mace-mpa-0-medium,Sr,fcc,vacancy_formation_energy,eV,0.9450689758,0.95,-0.00519055,-0.5191
mace-mpa-0-medium,Sr,fcc,gamma_100,J/m^2,0.280881362,0.347,-0.190544,-19.0544
mace-mpa-0-medium,Sr,fcc,gamma_110,J/m^2,0.3288919779,0.407,-0.191912,-19.1912
mace-mpa-0-medium,Sr,fcc,gamma_111,J/m^2,0.2625764636,0.342,-0.232233,-23.2233
mace-mpa-0-medium,Sr,fcc,stacking_fault_energy,mJ/m^2,13.80522283,,,
mace-mpa-0-medium,Sr,fcc,cohesive_energy,eV/atom,1.617201079,,,
mace-mpa-0-medium,Cr,bcc,a0,Angstrom,2.865085771,2.862,0.00107819,0.1078
mace-mpa-0-medium,Cr,bcc,B0,GPa,205.4745702,160,0.284216,28.4216
mace-mpa-0-medium,Cr,bcc,B0_prime,dimensionless,2.027371019,4.934,-0.589102,-58.9102
mace-mpa-0-medium,Cr,bcc,vacancy_formation_energy,eV,3.195693061,3.0093,0.061939,6.1939
mace-mpa-0-medium,Cr,bcc,gamma_100,J/m^2,3.445860469,3.632,-0.0512499,-5.1250
mace-mpa-0-medium,Cr,bcc,gamma_110,J/m^2,3.072426871,3.201,-0.0401666,-4.0167
mace-mpa-0-medium,Cr,bcc,cohesive_energy,eV/atom,4.044898223,,,
mace-mpa-0-medium,Fe,bcc,a0,Angstrom,2.876740173,2.831,0.0161569,1.6157
mace-mpa-0-medium,Fe,bcc,B0,GPa,199.6322145,173,0.153943,15.3943
mace-mpa-0-medium,Fe,bcc,B0_prime,dimensionless,0.4475333421,,,
mace-mpa-0-medium,Fe,bcc,vacancy_formation_energy,eV,2.209548664,2.1914,0.00828177,0.8282
mace-mpa-0-medium,Fe,bcc,gamma_100,J/m^2,2.498629917,2.499,-0.000148092,-0.0148
mace-mpa-0-medium,Fe,bcc,gamma_110,J/m^2,2.327349563,2.447,-0.0488968,-4.8897
mace-mpa-0-medium,Fe,bcc,cohesive_energy,eV/atom,4.949471359,,,
mace-mpa-0-medium,Mo,bcc,a0,Angstrom,3.15122341,3.161,-0.00309288,-0.3093
mace-mpa-0-medium,Mo,bcc,B0,GPa,308.3700527,265.3,0.162345,16.2345
mace-mpa-0-medium,Mo,bcc,B0_prime,dimensionless,6.02062694,3.34,0.802583,80.2583
mace-mpa-0-medium,Mo,bcc,vacancy_formation_energy,eV,2.925418462,2.7955,0.0464741,4.6474
mace-mpa-0-medium,Mo,bcc,gamma_100,J/m^2,3.228687293,3.182,0.0146723,1.4672
mace-mpa-0-medium,Mo,bcc,gamma_110,J/m^2,2.755875977,2.797,-0.0147029,-1.4703
mace-mpa-0-medium,Mo,bcc,cohesive_energy,eV/atom,6.239832916,,,
mace-mpa-0-medium,Nb,bcc,a0,Angstrom,3.316976671,3.31,0.00210776,0.2108
mace-mpa-0-medium,Nb,bcc,B0,GPa,159.0873257,174,-0.085705,-8.5705
mace-mpa-0-medium,Nb,bcc,B0_prime,dimensionless,5.561496131,,,
mace-mpa-0-medium,Nb,bcc,vacancy_formation_energy,eV,2.613969467,2.6589,-0.0168982,-1.6898
mace-mpa-0-medium,Nb,bcc,gamma_100,J/m^2,2.183765018,2.275,-0.0401033,-4.0103
mace-mpa-0-medium,Nb,bcc,gamma_110,J/m^2,2.054506064,2.074,-0.0093992,-0.9399
mace-mpa-0-medium,Nb,bcc,cohesive_energy,eV/atom,6.936575889,,,
mace-mpa-0-medium,Ta,bcc,a0,Angstrom,3.31865645,3.318,0.000197845,0.0198
mace-mpa-0-medium,Ta,bcc,B0,GPa,202.8530952,194.2,0.0445576,4.4558
mace-mpa-0-medium,Ta,bcc,B0_prime,dimensionless,7.682367943,3.17,1.42346,142.3460
mace-mpa-0-medium,Ta,bcc,vacancy_formation_energy,eV,2.7615781,2.8759,-0.0397517,-3.9752
mace-mpa-0-medium,Ta,bcc,gamma_100,J/m^2,2.447208427,2.471,-0.00962832,-0.9628
mace-mpa-0-medium,Ta,bcc,gamma_110,J/m^2,2.207123952,2.342,-0.0575901,-5.7590
mace-mpa-0-medium,Ta,bcc,cohesive_energy,eV/atom,8.30215004,,,
mace-mpa-0-medium,V,bcc,a0,Angstrom,2.979386553,2.996,-0.00554521,-0.5545
mace-mpa-0-medium,V,bcc,B0,GPa,185.5164222,157,0.181633,18.1633
mace-mpa-0-medium,V,bcc,B0_prime,dimensionless,5.668819787,,,
mace-mpa-0-medium,V,bcc,vacancy_formation_energy,eV,2.726807164,2.0422,0.33523,33.5230
mace-mpa-0-medium,V,bcc,gamma_100,J/m^2,2.74552497,2.381,0.153097,15.3097
mace-mpa-0-medium,V,bcc,gamma_110,J/m^2,2.499431062,2.421,0.0323961,3.2396
mace-mpa-0-medium,V,bcc,cohesive_energy,eV/atom,5.410898519,,,
mace-mpa-0-medium,W,bcc,a0,Angstrom,3.174756076,3.183,-0.00258999,-0.2590
mace-mpa-0-medium,W,bcc,B0,GPa,368.4092789,314.2,0.172531,17.2531
mace-mpa-0-medium,W,bcc,B0_prime,dimensionless,7.908806384,3.82,1.07037,107.0368
mace-mpa-0-medium,W,bcc,vacancy_formation_energy,eV,3.403959182,3.231,0.0535312,5.3531
mace-mpa-0-medium,W,bcc,gamma_100,J/m^2,4.063883998,3.954,0.0277906,2.7791
mace-mpa-0-medium,W,bcc,gamma_110,J/m^2,3.264600013,3.228,0.0113383,1.1338
mace-mpa-0-medium,W,bcc,cohesive_energy,eV/atom,8.29228295,,,
mace-mpa-0-medium,Si,diamond,a0,Angstrom,5.467402582,5.466,0.000256601,0.0257
mace-mpa-0-medium,Si,diamond,B0,GPa,86.5676662,89.2,-0.0295105,-2.9510
mace-mpa-0-medium,Si,diamond,B0_prime,dimensionless,3.99961555,,,
